Campaign,Campaign Type,Campaign Daily Budget,Bidding Strategy,Networks,Ad Group,Ad Group Type,Max CPC,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Ad Type,Headline 1 position,Headline 2 position,Headline 3 position,Campaign Status,Ad Group Status
C3 - Credits Tech Startup,Search,80,Maximize Conversions,Google Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,Standard,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits google cloud startup,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits google cloud startup,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits google cloud startup,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits aws startup gratuit,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits aws startup gratuit,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits aws startup gratuit,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits cloud startup france,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits cloud startup france,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits cloud startup france,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,google for startups credits,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,google for startups credits,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,google for startups credits,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,microsoft for startups azure,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,microsoft for startups azure,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,microsoft for startups azure,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits tech startup gratuit,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3 - Credits Tech Startup,,,,,kenrak.com/#credits,,,credits tech startup gratuit,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
